id,current_price,total_volume,market_cap,total_supply
bitcoin,57094.0,39768895774,1075858579885,21000000.0
ethereum,3534.54,17042871598,416768587252,
binancecoin,459.73,4813212971,77280906694,168137035.9
tether,1.0,66812491416,69786166094,69581070964.9911
cardano,2.17,1832154476,69574373610,45000000000.0
ripple,1.12,4685767600,52270056021,100000000000.0
solana,147.57,2302499660,44238696602,488630611.0
polkadot,39.42,2660542400,40974904219,1120927776.40129
usd-coin,1.0,3465072978,32968830375,32845923100.1013
dogecoin,0.231206,1221894992,30444843177,
terra-luna,35.84,880239892,14381720065,971050618.743971
shiba-inu,2.869e-05,3047387120,14265615782,1000000000000000.0
binance-usd,1.0,6050687822,13014499641,12965512468.28
uniswap,24.12,578253295,12533342774,1000000000.0
wrapped-bitcoin,57156.0,560082583,12038796857,210717.75993299
litecoin,175.63,2539268332,12037656484,84000000.0
avalanche-2,54.19,611511165,11939592520,377752194.4695483
chainlink,24.81,917338613,11316515437,1000000000.0
bitcoin-cash,588.52,7867686452,11068726364,21000000.0
algorand,1.75,273665326,10727306819,6611391885.33709
cosmos,32.32,679662270,9066036663,
stellar,0.361248,1202511659,8633577025,50001802722.348
matic-network,1.24,581295220,8322360803,10000000000.0
filecoin,68.18,1335386308,7658181345,1971599889.0
vechain,0.1139,588856023,7614250873,86712634466.0
internet-computer,42.42,333764034,7371393905,469213710.0
axie-infinity,120.29,568187819,7352583507,270000000.0
tron,0.096193,1220261517,6887842587,100850743812.0
ethereum-classic,52.7,3411341105,6860348453,210700000.0
dai,1.0,1572061569,6631295316,6607945514.35484
ftx-token,53.65,267710964,6458159474,336231561.285972
tezos,7.18,367424637,6199634213,
theta-token,5.86,252476446,5856875224,1000000000.0
compound-ether,70.87,269188372,5833475302,82540763.0531742
hedera-hashgraph,0.359387,104750251,5324104542,50000000000.0
fantom,2.01,589056266,5119998039,3175000000.0
monero,274.84,189492301,4950405620,
staked-ether,3499.49,8321437,4864706104,1390162.49431008
elrond-erd-2,239.77,135242498,4771205664,20397843.0
crypto-com-chain,0.185899,53574017,4704294937,30263013692.0
pancakeswap-token,19.94,567270824,4613209698,
eos,4.56,1087823568,4418019665,
okb,16.01,476514569,4245463773,300000000.0
ecash,0.00022204,228469265,4177354818,21000000000000.0
cdai,0.02172302,1249710186,4162350358,191583459518.409
klay-token,1.57,41494177,3957553832,
compound-usd-coin,0.02230982,1054573704,3927996693,180522031170.59
aave,294.3,262439731,3888199674,16000000.0
bitcoin-cash-abc-2,198.62,36860,3727689198,21000000.0
iota,1.34,50986892,3703404007,2779530283.0
quant-network,275.82,43218041,3683333370,14612493.0
near,7.22,137124340,3463032503,1000000000.0
the-graph,0.697811,96366723,3458540074,10000000000.0
olympus,1275.77,81378669,3390433055,3288098.343807
bitcoin-cash-sv,172.3,363035230,3248495428,21000000.0
waves,32.19,339659450,3218704910,100000000.0
neo,44.25,202831391,3120587358,100000000.0
kusama,340.11,135635666,3045434272,10000000.0
terrausd,1.0,39967084,2740038820,2729052325.75348
leo-token,2.81,249720,2638451895,985239504.0
bittorrent-2,0.00371846,265350564,2452456308,990000000000.0
celsius-degree-token,5.64,3426443,2388100686,695553151.6871
harmony,0.221944,393225982,2370186938,13156044839.793139
arweave,51.22,55432702,2366437739,66000000.0
huobi-btc,57343.0,3147233,2288341627,39906.36705999
blockstack,2.17,135339415,2287585646,1818000000.0
amp-token,0.04639272,15918832,2227181027,99436247241.4443
maker,2438.59,73537802,2197618509,991328.381954929
omisego,14.76,1173252552,2066522357,140245398.245133
sushi,9.93,332780969,1913646603,235755154.98495
helium,19.26,9675663,1896278516,223000000.0
thorchain,7.14,45891388,1877301386,500000000.0
dash,180.81,298404635,1876488888,18920000.0
compound-governance-token,307.74,103320715,1873123138,10000000.0
celo,5.68,86732472,1855956604,1000000000.0
chiliz,0.32994,455183456,1761701296,8888888888.0
decred,125.1,11558582,1676322653,21000000.0
havven,9.31,74423366,1635226372,235617958.444583
holotoken,0.00919031,153991925,1630361081,177619433541.141
ecomi,0.00744287,11580791,1618171476,750000000000.0
theta-fuel,0.29201,18558089,1591805888,5301200000.0
nem,0.17479,46621272,1573107597,8999999999.0
magic-internet-money,1.01,30820598,1491638938,1478352207.24997
enjincoin,1.55,78299646,1442836922,1000000000.0
icon,2.14,57974535,1442388175,800460000.0
xdce-crowd-sale,0.117861,5904295,1439181449,37599520715.0
zcash,117.56,181995918,1376210688,21000000.0
qtum,13.19,244908319,1366712876,107822406.0
true-usd,1.0,64281888,1279201305,1277439987.26906
flow,18.46,100128796,1258825688,1368390492.48566
dydx,22.23,579904641,1253842394,1000000000.0
iostoken,0.054854,143988721,1250317718,22803233886.8338
yearn-finance,34540.0,328197387,1231613795,36666.0
bitcoin-gold,69.99,71670491,1229072704,21000000.0
huobi-token,7.47,66662197,1225231444,500000000.0
bitclout,114.04,306055,1205786303,10808492.6854
zilliqa,0.092922,64951060,1173029907,21000000000.0
telcoin,0.02030006,35743645,1159946438,100000000000.0
curve-dao-token,2.94,261443592,1150001070,1608166186.47288
mina-protocol,4.16,36453931,1094518974,861693292.840039
