usdt_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2017-04-19T00:00:00.0000000Z,0.945,0.9549,0.9372,0.946,28868.05465155,77
2017-04-20T00:00:00.0000000Z,0.95,0.9549,0.92,0.949,76285.45377014,180
2017-04-21T00:00:00.0000000Z,0.949,0.95,0.9,0.9363,61116.51616898,275
2017-04-22T00:00:00.0000000Z,0.9363,0.95,0.915,0.915,118033.89277269,289
2017-04-23T00:00:00.0000000Z,0.911,0.94,0.901,0.915,76407.64354803,220
2017-04-24T00:00:00.0000000Z,0.912,0.9286,0.901,0.915,76087.79761689,188
2017-04-25T00:00:00.0000000Z,0.9149,0.925,0.89,0.904,100966.58005748,228
2017-04-26T00:00:00.0000000Z,0.9195,0.9367,0.903,0.9201,52901.49426262,227
2017-04-27T00:00:00.0000000Z,0.9286,0.937,0.9199,0.92,47574.71551114,191
2017-04-28T00:00:00.0000000Z,0.92,0.9649,0.9199,0.94,75782.59961152,252
2017-04-29T00:00:00.0000000Z,0.94,0.9524,0.931,0.931,25576.83049274,266
2017-04-30T00:00:00.0000000Z,0.9395,0.9529,0.912,0.935,74274.62214633,326
2017-05-01T00:00:00.0000000Z,0.9351,0.94,0.9151,0.9156,34194.8771429,347
2017-05-02T00:00:00.0000000Z,0.9158,0.94,0.9121,0.9283,57347.60792642,314
2017-05-03T00:00:00.0000000Z,0.9345,0.948,0.9212,0.9347,76277.47503442,349
2017-05-04T00:00:00.0000000Z,0.9357,0.9639,0.9155,0.959,198890.15237901,546
2017-05-05T00:00:00.0000000Z,0.9567,0.98,0.9306,0.979,196708.9251175,539
2017-05-06T00:00:00.0000000Z,0.979,0.9929,0.955,0.983,56413.19022726,226
2017-05-07T00:00:00.0000000Z,0.9721,0.981,0.928,0.9281,59897.25946178,460
2017-05-08T00:00:00.0000000Z,0.966,0.972,0.946,0.9711,69666.7264845,224
2017-05-09T00:00:00.0000000Z,0.9527,0.978,0.9527,0.97,462515.07604637,893
2017-05-10T00:00:00.0000000Z,0.9774,0.9946,0.965,0.994,253816.64490777,445
2017-05-11T00:00:00.0000000Z,0.994,0.9986,0.9475,0.9725,309210.48472878,684
2017-05-12T00:00:00.0000000Z,0.9725,0.9928,0.9601,0.9811,34435.83452313,305
2017-05-13T00:00:00.0000000Z,0.9811,0.9857,0.956,0.9778,29361.43893008,261
2017-05-14T00:00:00.0000000Z,0.9797,0.9886,0.9615,0.98,82505.06007172,289
2017-05-15T00:00:00.0000000Z,0.982,0.992,0.9722,0.9773,88547.18521865,341
2017-05-16T00:00:00.0000000Z,0.9758,0.9898,0.97,0.9897,53562.18116028,260
2017-05-17T00:00:00.0000000Z,0.9897,0.9897,0.9702,0.9766,23832.61764725,145
2017-05-18T00:00:00.0000000Z,0.9815,0.9868,0.9703,0.9799,26772.95871033,193
2017-05-19T00:00:00.0000000Z,0.9732,0.9983,0.9706,0.9983,234099.96851243,724
2017-05-20T00:00:00.0000000Z,0.9979,0.999,0.9801,0.99,200801.97625541,427
2017-05-21T00:00:00.0000000Z,0.9823,1.0,0.977,0.9956,130311.04078554,555
2017-05-22T00:00:00.0000000Z,0.9959,1.0,0.9768,1.0,309599.60183554,647
2017-05-23T00:00:00.0000000Z,1.0,1.0216,0.9827,0.999,206723.83636893,475
2017-05-24T00:00:00.0000000Z,0.999,1.0249,0.9801,1.01,387867.5638596,758
2017-05-25T00:00:00.0000000Z,0.9999,1.0699,0.984,1.0,183455.57426681,638
2017-05-26T00:00:00.0000000Z,1.0,1.045,1.0,1.0235,205322.62828449,860
2017-05-27T00:00:00.0000000Z,1.021,1.05,1.0026,1.0044,258250.88817085,856
2017-05-28T00:00:00.0000000Z,1.0208,1.037,1.0025,1.0025,293178.10820278,680
2017-05-29T00:00:00.0000000Z,1.0257,1.0398,1.0025,1.0395,259799.87797885,1186
2017-05-30T00:00:00.0000000Z,1.0395,1.0395,1.01,1.02,451237.17713749,945
2017-05-31T00:00:00.0000000Z,1.02,1.0699,1.005,1.0571,311402.20921385,784
2017-06-01T00:00:00.0000000Z,1.05,1.0597,1.0124,1.04,316038.30713413,726
2017-06-02T00:00:00.0000000Z,1.0404,1.063,1.0309,1.0323,178294.67789875,710
2017-06-03T00:00:00.0000000Z,1.035,1.0534,1.0135,1.0281,203330.16030971,556
2017-06-04T00:00:00.0000000Z,1.0369,1.045,1.0153,1.0176,121687.57629016,411
2017-06-05T00:00:00.0000000Z,1.0271,1.035,1.0182,1.0189,139630.64856766,384
2017-06-06T00:00:00.0000000Z,1.025,1.0398,1.0111,1.0126,332621.26568334,761
2017-06-07T00:00:00.0000000Z,1.012,1.0234,1.01,1.0186,269598.83724427,608
