aave_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-12-15T00:00:00.0000000Z,86.02,95.94,86.0,90.95,416.3496496,154
2020-12-16T00:00:00.0000000Z,90.94,90.95,81.02,87.69,3684.05566288,554
2020-12-17T00:00:00.0000000Z,88.0,94.0,83.26,85.06,6316.69259098,535
2020-12-18T00:00:00.0000000Z,84.68,90.38,82.25,90.38,1820.19106987,198
2020-12-19T00:00:00.0000000Z,90.9,96.39,88.28,88.29,2691.91765403,389
2020-12-20T00:00:00.0000000Z,88.17,94.0,84.06,84.67,3196.40359078,351
2020-12-21T00:00:00.0000000Z,86.28,94.0,77.9,81.0,4096.26241619,439
2020-12-22T00:00:00.0000000Z,81.73,85.99,76.0,84.55,2446.39793901,274
2020-12-23T00:00:00.0000000Z,83.21,83.21,63.83,74.63,2950.70411844,417
2020-12-24T00:00:00.0000000Z,75.76,80.34,71.33,80.0,1393.77391164,194
2020-12-25T00:00:00.0000000Z,80.33,82.0,76.15,80.0,2034.22488933,261
2020-12-26T00:00:00.0000000Z,79.33,79.33,74.17,75.01,1589.98000492,165
2020-12-27T00:00:00.0000000Z,75.01,81.45,73.12,78.36,1360.98474448,325
2020-12-28T00:00:00.0000000Z,76.58,89.0,76.58,81.74,2611.51565592,348
2020-12-29T00:00:00.0000000Z,82.34,82.9,75.0,77.05,1700.64201173,237
2020-12-30T00:00:00.0000000Z,77.9,85.66,77.27,81.53,2870.58202772,342
2020-12-31T00:00:00.0000000Z,80.71,88.64,78.21,88.51,1754.9589226,263
2021-01-01T00:00:00.0000000Z,87.4,91.19,85.11,91.19,2165.97010207,245
2021-01-02T00:00:00.0000000Z,91.46,91.76,82.66,85.47,3212.28929575,427
2021-01-03T00:00:00.0000000Z,85.15,99.99,81.93,93.19,7500.39757799,759
2021-01-04T00:00:00.0000000Z,94.4,115.28,85.49,114.47,18162.74234591,1767
2021-01-05T00:00:00.0000000Z,114.47,123.85,98.61,120.04,11376.71545405,1297
2021-01-06T00:00:00.0000000Z,120.25,120.68,108.0,115.23,11855.36136237,1223
2021-01-07T00:00:00.0000000Z,113.22,128.41,108.0,115.04,8282.40076279,978
2021-01-09T00:00:00.0000000Z,110.77,124.5,106.36,119.7,5426.97678695,553
2021-01-10T00:00:00.0000000Z,118.85,136.44,111.26,127.08,8371.65321365,1136
2021-01-11T00:00:00.0000000Z,127.0,127.0,94.26,115.81,6858.3431942,1141
2021-01-12T00:00:00.0000000Z,112.68,135.76,109.39,126.43,5444.358567,717
2021-01-13T00:00:00.0000000Z,126.36,148.16,120.0,148.16,5686.01803426,670
2021-01-14T00:00:00.0000000Z,147.07,155.15,138.91,147.25,5704.85485845,682
2021-01-15T00:00:00.0000000Z,147.71,167.43,140.0,166.75,4802.36442959,896
2021-01-16T00:00:00.0000000Z,167.8,203.16,167.8,184.0,10292.6598825,1617
2021-01-17T00:00:00.0000000Z,179.0,198.65,175.0,186.46,4981.93424124,958
2021-01-18T00:00:00.0000000Z,188.02,200.34,180.57,200.34,8542.99719774,1179
2021-01-19T00:00:00.0000000Z,200.77,209.9,185.0,190.01,7126.67734418,1281
2021-01-20T00:00:00.0000000Z,186.3,199.12,170.01,199.12,8905.78955481,1058
2021-01-21T00:00:00.0000000Z,199.0,199.33,155.0,160.51,8989.99010511,1426
2021-01-22T00:00:00.0000000Z,159.0,199.0,147.53,190.96,10446.25753326,1294
2021-01-23T00:00:00.0000000Z,189.18,220.0,186.5,211.13,21659.84877644,2430
2021-01-24T00:00:00.0000000Z,213.14,290.68,212.89,264.37,18260.40899926,3985
2021-01-25T00:00:00.0000000Z,266.36,283.21,238.0,249.1,12032.87431085,2985
2021-01-26T00:00:00.0000000Z,244.73,319.0,241.0,277.52,12648.96884025,2495
2021-01-27T00:00:00.0000000Z,277.77,298.59,251.0,287.74,16059.36152062,2563
2021-01-28T00:00:00.0000000Z,286.0,310.0,276.4,297.12,12327.33122031,2060
2021-01-29T00:00:00.0000000Z,298.8,345.0,270.79,287.73,10511.68655352,1848
2021-01-30T00:00:00.0000000Z,290.4,324.01,281.94,316.95,11062.38647446,2143
2021-01-31T00:00:00.0000000Z,315.55,318.89,293.88,300.78,8771.54160555,1592
2021-02-01T00:00:00.0000000Z,300.83,307.83,285.0,294.67,8861.48507282,1701
2021-02-02T00:00:00.0000000Z,294.55,307.0,286.0,303.87,6533.81661959,1928
2021-02-03T00:00:00.0000000Z,306.53,387.3,301.25,384.77,12282.11652245,3289
2021-02-04T00:00:00.0000000Z,386.0,525.6,386.0,468.81,35502.04153767,12456
2021-02-05T00:00:00.0000000Z,468.22,544.3,465.34,507.28,17140.2625331,6023
2021-02-06T00:00:00.0000000Z,509.23,511.52,430.35,472.5,15867.5889396,5279
2021-02-07T00:00:00.0000000Z,475.0,484.6,389.55,472.87,14242.58082775,4083
2021-02-08T00:00:00.0000000Z,472.43,531.71,463.99,490.8,13405.3683416,4134
2021-02-09T00:00:00.0000000Z,490.87,510.64,473.0,489.66,8168.34291415,2841
2021-02-10T00:00:00.0000000Z,489.71,581.01,487.76,524.4,16149.50871105,5644
2021-02-11T00:00:00.0000000Z,524.79,541.4,509.55,517.95,8382.76009309,3150
2021-02-12T00:00:00.0000000Z,518.41,545.0,500.0,530.45,8395.8043468,3364
2021-02-13T00:00:00.0000000Z,530.05,543.44,481.0,495.26,7508.97181554,3164
2021-02-14T00:00:00.0000000Z,496.15,509.99,461.65,469.58,6271.34744051,2526
2021-02-15T00:00:00.0000000Z,471.75,496.61,393.0,455.62,11258.14744248,5137
