ant_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-11-24T00:00:00.0000000Z,4.41,5.9,4.0,4.0544,36729.47982483,424
2020-11-25T00:00:00.0000000Z,4.0649,4.68,3.7,3.9,28493.89122226,686
2020-11-26T00:00:00.0000000Z,3.87,4.2499,3.01,3.2381,28809.34440618,397
2020-11-27T00:00:00.0000000Z,3.3988,3.3988,3.0312,3.1394,16093.74532413,184
2020-11-28T00:00:00.0000000Z,3.1452,3.3676,3.139,3.2615,8723.61720939,121
2020-11-29T00:00:00.0000000Z,3.2532,3.3226,3.1525,3.2895,10496.16887265,95
2020-11-30T00:00:00.0000000Z,3.2961,3.4462,3.2449,3.4462,8097.70285745,145
2020-12-01T00:00:00.0000000Z,3.4513,3.6169,3.1103,3.3207,81041.08235537,562
2020-12-02T00:00:00.0000000Z,3.3047,3.4685,3.2698,3.3852,11982.56575231,137
2020-12-03T00:00:00.0000000Z,3.4362,3.4781,3.345,3.3559,5343.48877995,107
2020-12-04T00:00:00.0000000Z,3.3715,3.4336,3.1715,3.1715,22563.69121542,123
2020-12-05T00:00:00.0000000Z,3.1892,3.2871,3.168,3.2871,2497.69680705,32
2020-12-06T00:00:00.0000000Z,3.2752,3.5941,3.2351,3.4717,53181.7764217,2121
2020-12-07T00:00:00.0000000Z,3.4878,3.4878,3.297,3.4405,6975.84936756,91
2020-12-08T00:00:00.0000000Z,3.3938,3.3938,3.0778,3.0778,6660.69706553,91
2020-12-09T00:00:00.0000000Z,3.1043,3.1618,3.0149,3.0498,7187.69281902,110
2020-12-10T00:00:00.0000000Z,3.0449,3.0933,2.9689,3.0404,7004.58113113,77
2020-12-11T00:00:00.0000000Z,3.0277,3.0277,2.8264,2.8812,10434.59442448,142
2020-12-12T00:00:00.0000000Z,2.8068,3.0,2.8068,2.9889,2369.68158979,39
2020-12-13T00:00:00.0000000Z,2.9894,3.0639,2.9693,3.0021,6689.86501049,88
2020-12-14T00:00:00.0000000Z,3.0178,3.0178,2.9081,2.9799,36414.23993554,241
2020-12-15T00:00:00.0000000Z,2.976,3.1377,2.9499,3.0901,18382.85660379,187
2020-12-16T00:00:00.0000000Z,3.0517,3.1496,3.0304,3.1378,14551.15980377,98
2020-12-17T00:00:00.0000000Z,3.1588,3.25,3.0253,3.25,9294.97816748,162
2020-12-18T00:00:00.0000000Z,3.25,3.556,3.1165,3.3,2124.13469302,105
2020-12-19T00:00:00.0000000Z,3.2999,3.427,3.1228,3.2299,5357.02712346,88
2020-12-20T00:00:00.0000000Z,3.2299,3.35,3.043,3.171,2225.08316511,95
2020-12-21T00:00:00.0000000Z,3.17,3.1953,2.876,2.92,132662.38362633,1008
2020-12-22T00:00:00.0000000Z,3.1519,3.85,2.8706,2.97,6471.61477429,141
2020-12-23T00:00:00.0000000Z,2.97,3.1646,2.7001,2.9902,8920.98622986,232
2020-12-24T00:00:00.0000000Z,2.8979,3.1355,2.7002,2.9068,6324.75702623,213
2020-12-25T00:00:00.0000000Z,2.9141,3.15,2.8201,2.8978,5425.01414076,165
2020-12-26T00:00:00.0000000Z,2.9903,3.0763,2.8419,2.8716,3750.54834276,132
2020-12-27T00:00:00.0000000Z,2.928,3.0573,2.8045,2.9903,2733.90585745,137
2020-12-28T00:00:00.0000000Z,2.8978,3.3999,2.8978,2.9769,21121.03009765,411
2020-12-29T00:00:00.0000000Z,2.973,3.1202,2.9246,2.9609,3218.71755266,120
2020-12-30T00:00:00.0000000Z,2.9509,3.0763,2.94,3.0255,2928.60013738,74
2020-12-31T00:00:00.0000000Z,3.0212,3.0539,2.9908,3.0213,6619.23054391,104
2021-01-01T00:00:00.0000000Z,3.0763,3.2412,3.0763,3.2173,9202.36393596,71
2021-01-02T00:00:00.0000000Z,3.2173,3.2173,3.04,3.0995,48788.46058824,298
2021-01-03T00:00:00.0000000Z,3.0976,3.2133,3.0026,3.0757,10041.5658129,166
2021-01-04T00:00:00.0000000Z,3.0763,3.4451,3.0715,3.3409,26734.69162908,277
2021-01-05T00:00:00.0000000Z,3.3423,3.4276,3.1825,3.3005,11669.03761962,176
2021-01-06T00:00:00.0000000Z,3.3224,3.5885,3.2969,3.4797,24828.20570931,224
2021-01-07T00:00:00.0000000Z,3.4875,8.88,2.5001,3.434,115998.3236547,1354
2021-01-09T00:00:00.0000000Z,3.313,3.6415,3.2975,3.5149,19477.28007004,385
2021-01-10T00:00:00.0000000Z,3.5174,3.9488,3.3883,3.8021,31578.24844292,518
2021-01-11T00:00:00.0000000Z,3.8006,3.8006,3.0101,3.3472,22141.39420893,550
2021-01-12T00:00:00.0000000Z,3.2975,3.4,3.0392,3.1925,12510.06304385,455
2021-01-13T00:00:00.0000000Z,3.11,3.3897,3.0288,3.2849,10950.97142039,311
2021-01-14T00:00:00.0000000Z,3.3078,3.5932,3.1628,3.2689,14392.55207748,356
2021-01-15T00:00:00.0000000Z,3.2689,3.5509,3.1082,3.2733,28147.16547213,556
2021-01-16T00:00:00.0000000Z,3.3471,3.617,3.3471,3.4859,22019.30976084,395
2021-01-17T00:00:00.0000000Z,3.4843,5.2,3.4343,4.8208,98227.94277309,2098
2021-01-18T00:00:00.0000000Z,4.9338,4.963,4.2123,4.3209,42773.60763351,945
2021-01-19T00:00:00.0000000Z,4.4948,4.6999,3.9767,3.9857,26417.10827054,475
2021-01-20T00:00:00.0000000Z,4.0771,4.1582,3.7155,4.0487,20115.12589369,357
2021-01-21T00:00:00.0000000Z,4.0001,4.0878,3.5,3.6299,13364.48704017,397
2021-01-22T00:00:00.0000000Z,3.5,3.8734,3.231,3.5217,27620.37510968,381
2021-01-23T00:00:00.0000000Z,3.4798,4.18,3.4209,3.859,32010.21156441,513
2021-01-24T00:00:00.0000000Z,3.8438,4.3999,3.7909,4.286,42479.62705496,969
2021-01-25T00:00:00.0000000Z,4.2441,4.39,3.8672,3.9009,26088.23162248,455
2021-01-26T00:00:00.0000000Z,3.8712,4.1204,3.5938,4.0564,31465.29415988,249
2021-01-27T00:00:00.0000000Z,4.0073,4.0073,3.4334,3.5025,18399.55897851,202
2021-01-28T00:00:00.0000000Z,3.5053,4.0622,3.48,3.879,28792.00462573,262
2021-01-29T00:00:00.0000000Z,3.8897,3.9468,3.5986,3.7515,18428.1430825,188
2021-01-30T00:00:00.0000000Z,3.7605,4.14,3.725,4.0202,46899.59381276,407
2021-01-31T00:00:00.0000000Z,3.9734,4.3,3.8822,4.1751,39900.11699939,254
2021-02-01T00:00:00.0000000Z,4.0816,4.9666,4.0816,4.2582,47767.21927644,308
2021-02-02T00:00:00.0000000Z,4.2643,4.2679,4.1015,4.1731,8887.94651257,161
2021-02-03T00:00:00.0000000Z,4.1639,4.2852,4.0305,4.2532,16711.88407849,281
2021-02-04T00:00:00.0000000Z,4.2659,4.7861,4.1933,4.5237,30764.95015621,484
2021-02-05T00:00:00.0000000Z,4.5318,6.6998,4.5252,6.6242,77698.79026406,1364
2021-02-06T00:00:00.0000000Z,6.2851,6.6994,5.1001,5.5018,47021.2519725,666
2021-02-07T00:00:00.0000000Z,5.5039,6.2461,4.64,5.2065,52312.35796581,603
2021-02-08T00:00:00.0000000Z,5.212,5.7869,5.0855,5.5967,35918.53598758,427
2021-02-09T00:00:00.0000000Z,5.5969,5.8333,5.3653,5.7543,27485.79476255,402
2021-02-10T00:00:00.0000000Z,5.8381,5.9504,5.0733,5.4981,56555.40419518,718
2021-02-11T00:00:00.0000000Z,5.498,6.5757,5.4661,6.2556,71266.89152414,953
2021-02-12T00:00:00.0000000Z,6.2949,6.98,6.2049,6.94,88382.3823327,1208
2021-02-13T00:00:00.0000000Z,6.94,7.3097,6.2211,7.1267,93804.41593435,831
2021-02-14T00:00:00.0000000Z,7.2018,7.5,6.2244,6.5795,33148.17651961,556
2021-02-15T00:00:00.0000000Z,6.5278,6.5303,5.034,5.9314,60069.61536157,972
2021-02-16T00:00:00.0000000Z,5.857,6.1866,5.4205,5.7603,40246.40955893,494
2021-02-17T00:00:00.0000000Z,5.736,8.0,5.3615,6.1082,42044.94108241,626
2021-02-18T00:00:00.0000000Z,6.12,6.95,5.9436,6.3496,45823.01369497,731
2021-02-19T00:00:00.0000000Z,6.3514,6.5024,4.51,5.9628,62226.82740229,925
2021-02-20T00:00:00.0000000Z,6.0134,6.1472,5.5315,5.6641,71403.96232579,1099
2021-02-21T00:00:00.0000000Z,5.6406,5.91,5.5234,5.8335,58910.28108159,1089
2021-02-22T00:00:00.0000000Z,5.86,7.5,4.8444,5.2976,94315.62299738,1806
2021-02-23T00:00:00.0000000Z,5.2879,5.2879,3.8391,4.428,105083.16387034,1366
2021-02-24T00:00:00.0000000Z,4.4039,4.9762,4.2209,4.7246,52321.70532694,809
2021-02-25T00:00:00.0000000Z,4.7483,4.8119,4.3529,4.3529,42368.0350182,715
2021-02-26T00:00:00.0000000Z,4.3626,4.7837,3.8899,4.1245,37172.60084288,492
2021-02-27T00:00:00.0000000Z,4.1865,4.3833,4.0614,4.2194,33519.75507024,734
2021-02-28T00:00:00.0000000Z,4.2144,4.2195,3.546,3.7972,48464.1967664,1106
2021-03-01T00:00:00.0000000Z,3.8139,4.3577,3.8138,4.3577,25863.98732931,396
2021-03-02T00:00:00.0000000Z,4.3889,6.072,4.1317,5.3536,125801.51390416,1942
2021-03-03T00:00:00.0000000Z,5.3451,6.66,4.9838,5.1594,157294.27110893,2303
2021-03-04T00:00:00.0000000Z,5.1278,5.56,4.8174,5.3597,54232.94724865,932
2021-03-05T00:00:00.0000000Z,5.3034,5.3034,4.7807,5.0771,47087.20223871,1011
2021-03-06T00:00:00.0000000Z,5.0742,5.0997,4.8538,5.0383,16589.25409926,402
2021-03-07T00:00:00.0000000Z,5.0349,5.21,4.96,5.0727,12477.93169964,289
2021-03-08T00:00:00.0000000Z,5.0743,5.3679,4.95,5.3679,35785.28885268,488
2021-03-09T00:00:00.0000000Z,5.3337,5.4579,5.1841,5.3975,21287.00580169,570
