atom_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-04-22T00:00:00.0000000Z,6.98,8.9,3.221,3.93,49807.73159642,812
2019-04-23T00:00:00.0000000Z,3.91,5.1999,3.7711,3.9751,201064.77507733,2270
2019-04-24T00:00:00.0000000Z,3.9889,4.08,2.9277,3.4801,132448.41169255,1346
2019-04-25T00:00:00.0000000Z,3.68,3.832,3.0931,3.21,144387.71822111,929
2019-04-26T00:00:00.0000000Z,3.208,3.6233,3.0668,3.5395,117796.98967446,766
2019-04-27T00:00:00.0000000Z,3.5838,3.6823,3.321,3.4026,32925.22636948,381
2019-04-28T00:00:00.0000000Z,3.453,4.95,3.3559,4.35,175350.78399694,2353
2019-04-29T00:00:00.0000000Z,4.35,4.587,3.61,3.7043,165394.9978868,1539
2019-04-30T00:00:00.0000000Z,3.734,3.9986,3.71,3.8719,33237.48876381,650
2019-05-01T00:00:00.0000000Z,3.8709,4.7001,3.8636,4.3609,162987.89561367,2002
2019-05-02T00:00:00.0000000Z,4.3398,4.65,4.0954,4.5,43056.85984853,775
2019-05-03T00:00:00.0000000Z,4.5066,5.2,4.5066,5.2,323354.03551621,3389
2019-05-04T00:00:00.0000000Z,5.2,5.4,4.69,5.1789,399326.82321239,4753
2019-05-05T00:00:00.0000000Z,5.179,5.85,4.7936,4.8194,65895.62577074,872
2019-05-06T00:00:00.0000000Z,4.805,4.8258,4.4718,4.6717,81407.77733654,1149
2019-05-07T00:00:00.0000000Z,4.74,4.9998,4.55,4.55,47920.72709014,741
2019-05-08T00:00:00.0000000Z,4.55,4.6496,4.2542,4.3461,59980.56536593,808
2019-05-09T00:00:00.0000000Z,4.3657,4.4754,3.4101,3.8744,185011.82672168,1569
2019-05-10T00:00:00.0000000Z,3.8423,4.0501,3.6043,3.7986,104747.32469052,873
2019-05-11T00:00:00.0000000Z,3.8,4.25,3.711,3.97,126850.97223834,1358
