eth_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-09-30T00:00:00.0000000Z,359.96,361.23,351.34,359.69,37600.98118793,6668
2020-10-01T00:00:00.0000000Z,359.7,371.32,345.3,353.0,61096.47439389,11925
2020-10-02T00:00:00.0000000Z,353.0,354.22,334.56,345.68,54653.37903178,11287
2020-10-03T00:00:00.0000000Z,345.68,351.09,344.01,346.18,17537.9087667,4697
2020-10-04T00:00:00.0000000Z,346.18,354.45,344.0,352.54,18774.90024448,4777
2020-10-05T00:00:00.0000000Z,352.55,355.99,348.83,353.77,18971.57563407,6001
2020-10-06T00:00:00.0000000Z,354.0,355.19,336.51,340.79,59682.00572513,10344
2020-10-07T00:00:00.0000000Z,340.77,342.98,333.01,341.8,131755.18590122,19009
2020-10-08T00:00:00.0000000Z,341.81,353.4,334.1,351.05,50839.25158085,8525
2020-10-09T00:00:00.0000000Z,351.05,368.42,347.5,365.6,50677.00177562,11345
2020-10-10T00:00:00.0000000Z,365.6,379.0,365.15,371.12,38609.27667186,8622
2020-10-11T00:00:00.0000000Z,370.82,377.4,369.3,374.61,17295.08353575,4809
2020-10-12T00:00:00.0000000Z,374.6,395.81,365.3,387.0,56730.98380209,11355
2020-10-13T00:00:00.0000000Z,386.99,387.86,374.1,381.48,36449.52488364,8311
2020-10-14T00:00:00.0000000Z,381.47,387.59,373.22,379.08,40672.33343864,7916
2020-10-15T00:00:00.0000000Z,379.12,382.15,370.24,377.79,36491.34000025,8080
2020-10-16T00:00:00.0000000Z,377.78,379.85,360.74,365.39,46405.6745817,9685
2020-10-17T00:00:00.0000000Z,365.41,370.62,363.5,368.4,12237.89566158,4372
2020-10-18T00:00:00.0000000Z,368.41,378.47,367.8,378.45,17579.22621921,4737
2020-10-19T00:00:00.0000000Z,378.44,384.98,372.9,379.5,32999.01651933,7465
2020-10-20T00:00:00.0000000Z,379.51,381.0,365.43,368.81,34898.38306866,7754
2020-10-21T00:00:00.0000000Z,368.81,402.23,368.19,391.51,82112.93369938,15252
2020-10-22T00:00:00.0000000Z,391.31,421.42,391.3,414.44,65028.62888994,12605
2020-10-23T00:00:00.0000000Z,414.25,419.52,402.04,409.92,39553.57692952,8442
2020-10-24T00:00:00.0000000Z,409.65,416.61,407.55,412.38,18351.32331868,4052
2020-10-25T00:00:00.0000000Z,412.41,417.84,403.25,406.35,27190.69306837,5827
2020-10-26T00:00:00.0000000Z,406.22,411.31,382.8,393.48,73020.45793027,12604
2020-10-27T00:00:00.0000000Z,393.48,410.48,390.52,403.65,39937.76222947,9460
2020-10-28T00:00:00.0000000Z,403.55,409.18,381.1,388.63,53447.60052238,10796
2020-10-29T00:00:00.0000000Z,388.91,394.11,380.69,387.67,53507.5591511,8946
2020-10-30T00:00:00.0000000Z,387.39,392.0,373.52,382.83,58405.63413756,11570
