ethc_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-09-30T00:00:00.0000000Z,5.761,5.776,5.616,5.724,24291.48123233,449
2020-10-01T00:00:00.0000000Z,5.716,5.787,5.568,5.75,16222.87504621,321
2020-10-02T00:00:00.0000000Z,5.75,5.779,5.5,5.639,17608.11646037,304
2020-10-03T00:00:00.0000000Z,5.642,5.683,5.571,5.617,13284.31576137,268
2020-10-04T00:00:00.0000000Z,5.683,5.82,5.516,5.743,74223.58794911,729
2020-10-05T00:00:00.0000000Z,5.74,5.788,5.605,5.739,100121.67143711,921
2020-10-06T00:00:00.0000000Z,5.755,5.799,5.501,5.565,63414.01883931,495
2020-10-07T00:00:00.0000000Z,5.537,5.61,5.376,5.551,56000.46604761,465
2020-10-08T00:00:00.0000000Z,5.559,5.771,5.486,5.535,34607.23387712,665
2020-10-09T00:00:00.0000000Z,5.538,5.736,5.327,5.736,46257.73972,1035
2020-10-10T00:00:00.0000000Z,5.649,6.0,5.618,5.703,81532.06500856,1107
2020-10-11T00:00:00.0000000Z,5.728,5.899,5.67,5.751,77259.75193994,855
2020-10-12T00:00:00.0000000Z,5.734,5.8,5.683,5.784,36172.37304201,522
2020-10-13T00:00:00.0000000Z,5.783,5.783,5.66,5.66,11565.44278214,178
2020-10-14T00:00:00.0000000Z,5.662,5.737,5.651,5.717,2839.26907175,81
2020-10-15T00:00:00.0000000Z,5.721,5.75,5.456,5.622,26418.34846472,393
2020-10-16T00:00:00.0000000Z,5.598,5.633,5.5,5.566,8272.02719599,167
2020-10-17T00:00:00.0000000Z,5.583,5.647,5.511,5.542,711.95020433,56
2020-10-18T00:00:00.0000000Z,5.601,5.647,5.548,5.583,914.83827917,192
2020-10-19T00:00:00.0000000Z,5.595,5.636,5.476,5.554,6016.46964963,112
2020-10-20T00:00:00.0000000Z,5.563,5.586,5.36,5.472,12804.09857768,261
2020-10-21T00:00:00.0000000Z,5.427,5.723,5.412,5.642,14166.3630226,305
2020-10-22T00:00:00.0000000Z,5.619,6.057,5.542,5.831,42743.52087002,651
2020-10-23T00:00:00.0000000Z,5.876,6.0,5.65,5.827,18053.05174286,464
2020-10-24T00:00:00.0000000Z,5.767,5.846,5.721,5.828,1324.17141402,54
2020-10-25T00:00:00.0000000Z,5.81,5.83,5.682,5.696,4123.82131708,143
2020-10-26T00:00:00.0000000Z,5.747,5.784,5.589,5.608,8343.6496063,312
2020-10-27T00:00:00.0000000Z,5.608,5.79,5.502,5.577,5870.46766878,250
2020-10-28T00:00:00.0000000Z,5.649,5.699,5.47,5.502,14752.43613848,326
2020-10-29T00:00:00.0000000Z,5.529,6.0,5.363,5.406,22357.74194556,445
2020-10-30T00:00:00.0000000Z,5.408,5.438,5.21,5.268,18193.34633224,329
2020-10-31T00:00:00.0000000Z,5.247,5.322,5.242,5.26,5964.57561396,156
2020-11-01T00:00:00.0000000Z,5.299,5.299,5.218,5.241,2426.19592294,143
2020-11-02T00:00:00.0000000Z,5.282,5.287,4.947,5.004,10208.02179874,337
2020-11-03T00:00:00.0000000Z,5.004,5.031,4.74,4.888,20270.1966088,756
2020-11-04T00:00:00.0000000Z,4.894,4.972,4.713,4.891,6588.81647503,222
2020-11-05T00:00:00.0000000Z,4.895,5.127,4.805,5.109,13235.85789437,273
2020-11-06T00:00:00.0000000Z,5.089,5.449,5.089,5.404,16050.79334532,342
2020-11-07T00:00:00.0000000Z,5.422,5.567,4.951,5.122,13407.73082769,491
2020-11-08T00:00:00.0000000Z,5.103,5.261,5.103,5.187,3642.05571583,150
2020-11-09T00:00:00.0000000Z,5.188,5.238,4.924,5.017,9660.04267875,313
2020-11-10T00:00:00.0000000Z,5.045,5.189,5.038,5.136,3042.7672365,162
2020-11-11T00:00:00.0000000Z,5.165,5.212,5.066,5.077,7241.4089131,180
2020-11-12T00:00:00.0000000Z,5.054,5.131,4.979,5.006,12873.16758291,200
2020-11-13T00:00:00.0000000Z,5.045,5.15,5.02,5.14,4898.58619935,129
2020-11-14T00:00:00.0000000Z,5.105,5.163,5.0,5.033,2578.32041436,128
2020-11-15T00:00:00.0000000Z,5.041,5.066,4.942,5.028,1766.71314151,69
2020-11-16T00:00:00.0000000Z,5.001,5.446,5.001,5.385,21168.22436359,462
