usdt_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-09-30T00:00:00.0000000Z,1.0,1.0006,0.9994,1.0,12958532.60947768,10336
2020-10-01T00:00:00.0000000Z,0.9999,1.0009,0.9995,0.9999,15686258.96170436,13382
2020-10-02T00:00:00.0000000Z,0.9999,1.0008,0.9997,1.0003,14513618.79586165,13059
2020-10-03T00:00:00.0000000Z,1.0001,1.0009,1.0001,1.0004,3286251.14346234,4223
2020-10-04T00:00:00.0000000Z,1.0005,1.0008,1.0001,1.0004,3305922.35794291,4762
2020-10-05T00:00:00.0000000Z,1.0003,1.002,0.9994,1.0004,21757433.4267918,8831
2020-10-06T00:00:00.0000000Z,1.0003,1.0005,0.9995,0.9998,16284045.75039551,9795
2020-10-07T00:00:00.0000000Z,0.9998,1.0012,0.9992,0.9999,18519811.45852178,11413
2020-10-08T00:00:00.0000000Z,0.9999,1.001,0.9995,1.0006,13319272.83800894,11211
2020-10-09T00:00:00.0000000Z,1.0006,1.0016,1.0002,1.0007,15482670.54637075,13494
2020-10-10T00:00:00.0000000Z,1.0007,1.0012,1.0004,1.0007,4566138.41874972,6908
2020-10-11T00:00:00.0000000Z,1.0007,1.0009,0.9999,1.0002,4830820.99594206,4876
2020-10-12T00:00:00.0000000Z,1.0002,1.0009,0.9999,1.0006,10859784.29749191,10904
2020-10-13T00:00:00.0000000Z,1.0006,1.0015,1.0,1.0007,14849415.54691552,9897
2020-10-14T00:00:00.0000000Z,1.0007,1.0011,1.0003,1.0008,14921522.19435687,10516
2020-10-15T00:00:00.0000000Z,1.0008,1.0009,1.0,1.0008,15607024.00773874,10029
2020-10-16T00:00:00.0000000Z,1.0007,1.0016,1.0003,1.0008,15800612.89697933,11525
2020-10-17T00:00:00.0000000Z,1.0008,1.0009,1.0004,1.0004,3568773.58109397,2993
2020-10-18T00:00:00.0000000Z,1.0005,1.0008,1.0004,1.0005,2697401.85979001,3522
2020-10-19T00:00:00.0000000Z,1.0004,1.001,0.9999,1.0006,19458617.2852829,10202
2020-10-20T00:00:00.0000000Z,1.0007,1.0012,1.0003,1.001,13278380.39385748,9509
2020-10-21T00:00:00.0000000Z,1.001,1.0025,1.0005,1.0018,20282892.39908151,18086
2020-10-22T00:00:00.0000000Z,1.0019,1.002,1.0005,1.0009,17379584.53051286,16369
2020-10-23T00:00:00.0000000Z,1.001,1.0014,1.0003,1.001,13885496.64455678,12698
2020-10-24T00:00:00.0000000Z,1.001,1.0014,1.0006,1.0009,4803026.67919252,4661
2020-10-25T00:00:00.0000000Z,1.0009,1.0015,1.0005,1.0007,5504107.49469432,6876
2020-10-26T00:00:00.0000000Z,1.0007,1.0014,1.0004,1.0012,11829730.09790912,13502
2020-10-27T00:00:00.0000000Z,1.0013,1.0013,1.0001,1.0007,17070992.75722387,14180
2020-10-28T00:00:00.0000000Z,1.0006,1.0009,1.0,1.0006,14439615.12481918,15028
2020-10-29T00:00:00.0000000Z,1.0007,1.0011,1.0,1.0005,14182352.32425618,13836
2020-10-30T00:00:00.0000000Z,1.0004,1.0012,1.0,1.0007,17741348.85178308,12998
2020-10-31T00:00:00.0000000Z,1.0007,1.001,1.0002,1.0009,6740012.45511136,5255
2020-11-01T00:00:00.0000000Z,1.0009,1.001,1.0004,1.0008,3771189.59514038,4551
2020-11-02T00:00:00.0000000Z,1.0008,1.001,1.0002,1.0009,17134335.06649304,11467
2020-11-03T00:00:00.0000000Z,1.0008,1.001,0.9992,1.0005,17210966.65569222,13104
2020-11-04T00:00:00.0000000Z,1.0005,1.0015,1.0,1.0015,18942482.31558968,11722
2020-11-05T00:00:00.0000000Z,1.0014,1.0019,1.0005,1.0013,33495293.61672844,21091
2020-11-06T00:00:00.0000000Z,1.0013,1.0017,1.0004,1.0014,23943094.03410914,17563
2020-11-07T00:00:00.0000000Z,1.0014,1.0016,0.9997,1.0012,16395025.55153868,16803
2020-11-08T00:00:00.0000000Z,1.0012,1.0016,0.9999,1.0004,12845248.44398052,12962
2020-11-09T00:00:00.0000000Z,1.0004,1.0013,1.0,1.0005,17301455.70557726,14775
2020-11-10T00:00:00.0000000Z,1.0005,1.0015,1.0003,1.0014,20632533.85030507,16956
2020-11-11T00:00:00.0000000Z,1.0015,1.0016,1.0007,1.0011,20818324.30178276,16731
2020-11-12T00:00:00.0000000Z,1.0011,1.0018,1.0005,1.0008,29173186.76101298,20566
2020-11-13T00:00:00.0000000Z,1.0008,1.0014,1.0004,1.001,26679873.26323312,17298
2020-11-14T00:00:00.0000000Z,1.001,1.0011,1.0004,1.0009,9440530.22957576,10561
2020-11-15T00:00:00.0000000Z,1.0009,1.0011,1.0,1.0008,9027607.46122591,10651
2020-11-16T00:00:00.0000000Z,1.0007,1.001,1.0,1.0007,23437280.48072075,17968
2020-11-17T00:00:00.0000000Z,1.0007,1.0014,0.9999,1.0011,27722883.07109741,24104
2020-11-18T00:00:00.0000000Z,1.0012,1.12,1.0,1.001,32422150.68727467,22676
2020-11-19T00:00:00.0000000Z,1.001,1.0013,1.0001,1.0011,21622248.21546901,17778
2020-11-20T00:00:00.0000000Z,1.0011,1.0013,1.0,1.001,27751641.53719587,25503
2020-11-21T00:00:00.0000000Z,1.0009,1.0013,1.0004,1.0006,15619840.87619148,24690
