xtz_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2018-10-16T00:00:00.0000000Z,1.74,5.5,1.4001,1.439,193575.58227449,544
2018-10-17T00:00:00.0000000Z,1.4638,1.47,1.35,1.414,173031.27108804,520
2018-10-18T00:00:00.0000000Z,1.4079,1.4955,1.294,1.295,182483.64367358,737
2018-10-19T00:00:00.0000000Z,1.3122,1.3452,1.2505,1.3032,131824.90802091,421
2018-10-20T00:00:00.0000000Z,1.2881,1.3,1.26,1.2981,63424.94995931,242
2018-10-21T00:00:00.0000000Z,1.2981,1.3727,1.29,1.3249,37408.20897933,169
2018-10-22T00:00:00.0000000Z,1.349,1.4309,1.315,1.4134,75804.93533752,311
2018-10-23T00:00:00.0000000Z,1.4154,1.4154,1.3474,1.383,106181.07929278,297
2018-10-24T00:00:00.0000000Z,1.3889,1.3889,1.3365,1.3401,44728.18448258,165
2018-10-25T00:00:00.0000000Z,1.3502,1.3502,1.3085,1.3453,33614.11631799,133
2018-10-26T00:00:00.0000000Z,1.3438,1.379,1.32,1.3573,30474.90789937,134
2018-10-27T00:00:00.0000000Z,1.3539,1.3615,1.3221,1.326,12543.7270221,56
2018-10-28T00:00:00.0000000Z,1.3446,1.36,1.3267,1.34,16234.32442324,112
2018-10-29T00:00:00.0000000Z,1.34,1.3423,1.257,1.257,47129.24172196,318
2018-10-30T00:00:00.0000000Z,1.2721,1.3254,1.265,1.2821,23670.41745539,135
2018-10-31T00:00:00.0000000Z,1.28,1.2926,1.2602,1.2926,34930.59454631,188
2018-11-01T00:00:00.0000000Z,1.292,1.3122,1.2855,1.3049,13815.53825318,93
2018-11-02T00:00:00.0000000Z,1.307,1.3333,1.284,1.298,67450.79146719,394
2018-11-03T00:00:00.0000000Z,1.298,1.3218,1.2836,1.317,24875.41805445,161
2018-11-04T00:00:00.0000000Z,1.3169,1.3665,1.2864,1.3346,117386.42597755,600
2018-11-05T00:00:00.0000000Z,1.3438,1.3701,1.3079,1.3374,115667.29326135,527
2018-11-06T00:00:00.0000000Z,1.3394,1.354,1.318,1.35,58345.56737822,364
2018-11-07T00:00:00.0000000Z,1.35,1.3768,1.319,1.321,108263.53691122,412
2018-11-08T00:00:00.0000000Z,1.3243,1.3365,1.3,1.3032,95382.79503159,357
2018-11-09T00:00:00.0000000Z,1.3189,1.3258,1.2678,1.2864,74954.44431627,276
2018-11-10T00:00:00.0000000Z,1.3028,1.3145,1.2782,1.2941,17680.83142928,171
2018-11-11T00:00:00.0000000Z,1.2941,1.3248,1.286,1.3014,21956.0285876,112
2018-11-12T00:00:00.0000000Z,1.3014,1.318,1.2502,1.2557,119095.2313611,621
2018-11-13T00:00:00.0000000Z,1.2573,1.3343,1.2285,1.2428,49820.16999938,266
2018-11-14T00:00:00.0000000Z,1.249,1.257,1.033,1.086,215113.98491596,597
2018-11-15T00:00:00.0000000Z,1.0973,1.1315,1.0413,1.112,153345.44322001,361
2018-11-16T00:00:00.0000000Z,1.1109,1.3343,1.0854,1.1012,103135.22283839,227
2018-11-17T00:00:00.0000000Z,1.1228,1.15,1.0548,1.0758,109595.15275059,323
2018-11-18T00:00:00.0000000Z,1.0797,1.0902,1.06,1.065,64384.09283829,118
2018-11-19T00:00:00.0000000Z,1.0786,1.0786,0.75,0.8136,883439.65133281,1323
2018-11-20T00:00:00.0000000Z,0.8162,0.86,0.62,0.7142,908176.33607004,1806
2018-11-21T00:00:00.0000000Z,0.7065,0.7299,0.623,0.7169,452164.30530147,714
2018-11-22T00:00:00.0000000Z,0.7134,0.7461,0.67,0.67,184545.14094308,529
2018-11-23T00:00:00.0000000Z,0.6714,0.679,0.6044,0.6204,360920.41022559,779
2018-11-24T00:00:00.0000000Z,0.628,0.6524,0.55,0.5702,156535.1789881,444
2018-11-25T00:00:00.0000000Z,0.5595,0.6524,0.485,0.5942,458752.56487901,748
2018-11-26T00:00:00.0000000Z,0.5942,0.6246,0.5331,0.5695,191546.04533231,431
2018-11-27T00:00:00.0000000Z,0.5695,0.599,0.5356,0.5736,157616.66282429,306
2018-11-28T00:00:00.0000000Z,0.5635,0.6295,0.5515,0.5984,320541.15209232,742
2018-11-29T00:00:00.0000000Z,0.5986,0.5986,0.5,0.5495,621469.03079821,733
2018-11-30T00:00:00.0000000Z,0.5493,0.5554,0.4626,0.49,647325.24969567,710
2018-12-01T00:00:00.0000000Z,0.483,0.51,0.4782,0.5019,106609.7221641,243
2018-12-02T00:00:00.0000000Z,0.5,0.5061,0.4661,0.4905,57990.07062275,135
2018-12-03T00:00:00.0000000Z,0.4905,0.4905,0.4326,0.4403,370662.39490093,394
2018-12-04T00:00:00.0000000Z,0.4462,0.485,0.4156,0.4276,163441.41541607,249
2018-12-05T00:00:00.0000000Z,0.4271,0.4567,0.3751,0.3813,275586.766485,387
2018-12-06T00:00:00.0000000Z,0.3797,0.45,0.3352,0.3462,497402.72090538,587
2018-12-07T00:00:00.0000000Z,0.3342,0.3857,0.3125,0.3618,398881.56448579,504
2018-12-08T00:00:00.0000000Z,0.3895,0.4998,0.3575,0.3851,335969.96156569,348
2018-12-09T00:00:00.0000000Z,0.388,0.4212,0.3823,0.397,183693.45914737,321
2018-12-10T00:00:00.0000000Z,0.3909,0.398,0.344,0.3507,229139.90140187,326
2018-12-11T00:00:00.0000000Z,0.3492,0.3699,0.3476,0.3652,116657.48368673,163
2018-12-12T00:00:00.0000000Z,0.3647,0.4183,0.3545,0.411,175672.85427832,340
2018-12-13T00:00:00.0000000Z,0.4117,0.4451,0.3676,0.3676,200031.96628648,317
2018-12-14T00:00:00.0000000Z,0.3676,0.38,0.35,0.37,149010.08833325,194
2018-12-15T00:00:00.0000000Z,0.37,0.3878,0.3636,0.3878,121440.23546506,168
2018-12-16T00:00:00.0000000Z,0.3832,0.4082,0.3768,0.3865,56592.74687478,79
2018-12-17T00:00:00.0000000Z,0.3783,0.433,0.3783,0.4189,45339.6574404,168
2018-12-18T00:00:00.0000000Z,0.4189,0.48,0.409,0.4429,211504.20747293,270
2018-12-19T00:00:00.0000000Z,0.4429,0.539,0.4193,0.4341,403410.65828957,557
2018-12-20T00:00:00.0000000Z,0.4341,0.5,0.4341,0.4674,246876.81281237,380
2018-12-21T00:00:00.0000000Z,0.4654,0.4831,0.4391,0.455,217090.83867821,386
2018-12-22T00:00:00.0000000Z,0.4561,0.4786,0.4451,0.4786,29692.68117298,187
2018-12-23T00:00:00.0000000Z,0.4799,0.59,0.4799,0.5265,162729.13108103,234
2018-12-24T00:00:00.0000000Z,0.5319,0.5827,0.52,0.5305,133159.56651265,195
2018-12-25T00:00:00.0000000Z,0.523,0.523,0.482,0.5016,54573.4659804,166
2018-12-26T00:00:00.0000000Z,0.5046,0.5455,0.4941,0.512,15253.33582936,54
2018-12-27T00:00:00.0000000Z,0.5292,0.5292,0.4549,0.4549,147848.06005021,225
2018-12-28T00:00:00.0000000Z,0.4583,0.54,0.4523,0.5082,35508.57166519,202
2018-12-29T00:00:00.0000000Z,0.5082,0.5265,0.4872,0.4935,63048.53039947,213
2018-12-30T00:00:00.0000000Z,0.5007,0.508,0.4736,0.4945,74748.50308494,159
2018-12-31T00:00:00.0000000Z,0.4969,0.502,0.4419,0.45,176728.17490919,245
2019-01-01T00:00:00.0000000Z,0.45,0.4757,0.441,0.4422,159635.43580195,160
2019-01-02T00:00:00.0000000Z,0.4616,0.5479,0.4562,0.4822,109740.36974266,438
2019-01-03T00:00:00.0000000Z,0.4786,0.4822,0.47,0.471,49413.98841183,132
2019-01-04T00:00:00.0000000Z,0.4735,0.4878,0.4603,0.4786,44125.1584095,154
2019-01-05T00:00:00.0000000Z,0.4786,0.495,0.475,0.475,28363.04617103,109
2019-01-06T00:00:00.0000000Z,0.4735,0.5065,0.472,0.488,62570.28679186,144
2019-01-07T00:00:00.0000000Z,0.4882,0.543,0.463,0.4735,340959.071532,579
2019-01-09T00:00:00.0000000Z,0.4934,0.5399,0.4821,0.5065,77041.53037548,299
2019-01-10T00:00:00.0000000Z,0.5026,0.515,0.4411,0.4412,152956.33720075,391
2019-01-11T00:00:00.0000000Z,0.445,0.4615,0.4411,0.445,41226.09426361,120
2019-01-12T00:00:00.0000000Z,0.4411,0.4597,0.4102,0.4285,74709.46011762,146
2019-01-13T00:00:00.0000000Z,0.4243,0.4285,0.383,0.3978,40280.58039512,140
2019-01-14T00:00:00.0000000Z,0.3938,0.4331,0.3933,0.4199,116669.06672493,186
2019-01-15T00:00:00.0000000Z,0.4199,0.4304,0.399,0.4014,67661.20505548,131
2019-01-16T00:00:00.0000000Z,0.4246,0.4332,0.4001,0.4274,42558.00241223,129
2019-01-17T00:00:00.0000000Z,0.4275,0.431,0.4187,0.4242,69678.36299143,135
2019-01-18T00:00:00.0000000Z,0.4333,0.4513,0.4171,0.4337,39801.72931735,130
