id,ath,ath_date,atl,atl_date
bitcoin,64805.0,2021-04-14T11:54:46.763Z,67.81,2013-07-06T00:00:00.000Z
ethereum,4356.99,2021-05-12T14:41:48.623Z,0.432979,2015-10-20T00:00:00.000Z
binancecoin,686.31,2021-05-10T07:24:17.097Z,0.0398177,2017-10-19T00:00:00.000Z
tether,1.32,2018-07-24T00:00:00.000Z,0.572521,2015-03-02T00:00:00.000Z
cardano,3.09,2021-09-02T06:00:10.474Z,0.01925275,2020-03-13T02:22:55.044Z
ripple,3.4,2018-01-07T00:00:00.000Z,0.00268621,2014-05-22T00:00:00.000Z
solana,213.47,2021-09-09T02:24:33.650Z,0.500801,2020-05-11T19:35:23.449Z
polkadot,49.35,2021-05-15T03:59:58.961Z,2.7,2020-08-20T05:48:11.359Z
usd-coin,1.17,2019-05-08T00:40:28.300Z,0.891848,2021-05-19T13:14:05.611Z
dogecoin,0.731578,2021-05-08T05:08:23.458Z,8.69e-05,2015-05-06T00:00:00.000Z
terra-luna,49.7,2021-10-04T16:35:04.475Z,0.121798,2020-03-18T17:03:01.083Z
shiba-inu,3.791e-05,2021-05-10T22:53:42.945Z,5.6e-11,2020-11-28T11:26:25.838Z
binance-usd,1.15,2020-03-13T02:35:42.953Z,0.901127,2021-05-19T13:04:37.445Z
uniswap,44.92,2021-05-03T05:25:04.822Z,1.03,2020-09-17T01:20:38.214Z
wrapped-bitcoin,64565.0,2021-04-14T12:00:05.340Z,3139.17,2019-04-02T00:00:00.000Z
litecoin,410.26,2021-05-10T03:13:07.904Z,1.15,2015-01-14T00:00:00.000Z
avalanche-2,79.31,2021-09-23T08:14:35.857Z,2.8,2020-12-31T13:15:21.540Z
chainlink,52.7,2021-05-10T00:13:57.214Z,0.148183,2017-11-29T00:00:00.000Z
bitcoin-cash,3785.82,2017-12-20T00:00:00.000Z,76.93,2018-12-16T00:00:00.000Z
algorand,3.56,2019-06-20T14:51:19.480Z,0.105336,2020-03-13T02:20:48.438Z
